iter	Passed	Remaining
944	2611	151
945	2613	149
946	2616	146
947	2618	143
948	2621	140
949	2624	138
950	2626	135
951	2629	132
952	2632	129
953	2634	127
954	2637	124
955	2639	121
956	2642	118
957	2645	115
958	2647	113
959	2650	110
960	2652	107
961	2655	104
962	2658	102
963	2660	99
964	2663	96
965	2665	93
966	2668	91
967	2670	88
968	2673	85
969	2676	82
970	2678	80
971	2681	77
972	2683	74
973	2686	71
974	2688	68
975	2691	66
976	2694	63
977	2696	60
978	2699	57
979	2702	55
980	2704	52
981	2707	49
982	2710	46
983	2712	44
984	2715	41
985	2718	38
986	2720	35
987	2723	33
988	2725	30
989	2728	27
990	2731	24
991	2733	22
992	2736	19
993	2738	16
994	2741	13
995	2744	11
996	2747	8
997	2750	5
998	2753	2
999	2756	0
